ss_id,ss_title,max_bibkey,max_bib_title,max_ratio,up80_bibkeys,up80_bib_titles,up80_ratios
0023c0af3833ba26698ff22e236f3625f1533e86,Quantitative Dose Dependency Analysis of Whole-Brain CT Perfusion Imaging.,Mann16,Quantitative Dose Dependency Analysis of Whole-Brain CT Perfusion Imaging,0.9931972789115646,,,
0023c0af3833ba26698ff22e236f3625f1533e86,Quantitative Dose Dependency Analysis of Whole-Brain CT Perfusion Imaging.,Mann16,Quantitative Dose Dependency Analysis of Whole-Brain CT Perfusion Imaging,0.9931972789115646,,,
00559146cc1276c6c98401e2aa35e591ebccca76,Model-based segmentation of abdominal aortic aneurysms in CTA images,Brui03b,Model-based segmentation of abdominal aortic aneurysms in CTA images,1.0,"['Brui02', 'Brui03a', 'Brui03b', 'Brui04']","['Active shape model based segmentation of abdominal aortic aneurysms in CTA images', 'Automated Segmentation of Abdominal Aortic Aneurysms in Multi-spectral MR Images', 'Model-based segmentation of abdominal aortic aneurysms in CTA images', 'Interactive segmentation of abdominal aortic aneurysms in CTA images']","[0.8993288590604027, 0.8243243243243243, 1.0, 0.8823529411764706]"
0060644239845c59813a5a9122d34e1f75d18e4c,Association between the number and size of intrapulmonary lymph nodes and chronic obstructive pulmonary disease severity,Schr20,Association between the number and size of intrapulmonary lymph nodes and chronic obstructive pulmonary disease severity,1.0,,,
0060644239845c59813a5a9122d34e1f75d18e4c,Association between the number and size of intrapulmonary lymph nodes and chronic obstructive pulmonary disease severity,Schr20,Association between the number and size of intrapulmonary lymph nodes and chronic obstructive pulmonary disease severity,1.0,,,
0060644239845c59813a5a9122d34e1f75d18e4c,Association between the number and size of intrapulmonary lymph nodes and chronic obstructive pulmonary disease severity,Schr20,Association between the number and size of intrapulmonary lymph nodes and chronic obstructive pulmonary disease severity,1.0,,,
00744ccc38761d1fec5542d0bc9bdf929fd855ca,Rapid artificial intelligence solutions in a pandemic—The COVID-19-20 Lung CT Lesion Segmentation Challenge,Leeu22,The rise of artificial intelligence solutions in radiology departments in the Netherlands,0.5306122448979592,,,
0075a6b4a31f64f027ee1d300803d00317547557,Quantitative blood flow measurement in rat brain with multiphase arterial spin labelling magnetic resonance imaging,Litj14e,Computer-aided Detection of Prostate Cancer in Multi-parametric Magnetic Resonance Imaging,0.5170731707317073,,,
0081e840aeaaa405c804371a3768db33d86bab0e,Coronary artery calcification scoring in low-dose ungated CT screening for lung cancer: interscan agreement.,Jaco10a,Coronary artery calcification scoring in low-dose ungated CT screening for lung cancer: interscan agreement,0.9953488372093023,,,
009d23a03a365fbc8b565f898033885d9f6018db,Image Quality of a Dual Side Reading Fuji Computed Mammography System Compared to the GE FFDM System and a Film/Screen Mammography System,Chon11a,Reproducibility of densitometric measures of emphysema in computed tomography scans one week apart: the effect of breathhold and scanner calibration,0.43508771929824563,,,
